호텔명,입실,퇴실,지역,숙박유형,별점,등급,가격,가장 가까운 공항,가장 가까운 공항과의 거리,가장 가까운 공항까지 시간
수이잔테이 클럽 조잔케이,2023-09-02,2023-09-03,삿포로,호텔,9.3,4성급,363156,New Chitose Airport,70.4 km,1 hour 20 mins
삿포로 파크 호텔,2023-09-02,2023-09-03,삿포로,호텔,8.5,4성급,260370,New Chitose Airport,49.0 km,57 mins
호텔 라이브맥스 삿포로 에키마에,2023-09-02,2023-09-03,삿포로,호텔,6.5,2성급,157185,New Chitose Airport,48.9 km,56 mins
ANA 크라운 플라자 삿포로,2023-09-02,2023-09-03,삿포로,호텔,7.8,4성급,157365,New Chitose Airport,48.7 km,54 mins
APA 호텔 삿포로,2023-09-02,2023-09-03,삿포로,호텔,6.7,3성급,131712,New Chitose Airport,48.9 km,56 mins
란도르 레지던스 스스키노 스위츠,2023-09-02,2023-09-03,삿포로,호텔,5.2,3성급,539257,New Chitose Airport,49.2 km,56 mins
APA 호텔 삿포로 스스키노 에키마에,2023-09-02,2023-09-03,삿포로,호텔,7.7,3성급,154131,New Chitose Airport,49.2 km,56 mins
뉴 오타니 인 삿포로,2023-09-02,2023-09-03,삿포로,호텔,7.7,3성급,235477,New Chitose Airport,48.9 km,56 mins
리치몬드 호텔 삿포로 에키마에,2023-09-02,2023-09-03,삿포로,호텔,8.3,3성급,213174,New Chitose Airport,48.6 km,53 mins
호텔 라이브맥스 삿포로,2023-09-02,2023-09-03,삿포로,호텔,6.7,2성급,179639,New Chitose Airport,48.9 km,56 mins
APA 호텔 TKP 삿포로 에키마에,2023-09-02,2023-09-03,삿포로,호텔,7.4,3성급,164841,New Chitose Airport,48.9 km,56 mins
호텔 라이브맥스 삿포로 스스키노,2023-09-02,2023-09-03,삿포로,호텔,7.8,2성급,123559,New Chitose Airport,49.2 km,56 mins
레드 플래닛 삿포로 스스키노 사우스,2023-09-02,2023-09-03,삿포로,호텔,8.5,3성급,277557,New Chitose Airport,49.2 km,56 mins
Odori Koen Hotel,2023-09-02,2023-09-03,삿포로,호텔,평점없음,3성급,277674,New Chitose Airport,49.8 km,58 mins
APA 호텔 TKP 삿포로 에키키타 엑설런트,2023-09-02,2023-09-03,삿포로,호텔,7.5,3성급,156345,New Chitose Airport,48.9 km,56 mins
Experience Sapporo,2023-09-02,2023-09-03,삿포로,호텔,8.6,3성급,178596,New Chitose Airport,49.3 km,57 mins
게이오 플라자 호텔 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.6,4성급,100573,New Chitose Airport,55.4 km,58 mins
라젠트 스테이 삿포로 오도리 홋카이도,2023-09-03,2023-09-04,삿포로,호텔,8.7,3성급,103388,New Chitose Airport,49.1 km,57 mins
더 놋 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.7,3성급,103686,New Chitose Airport,48.9 km,56 mins
호텔 그레이스리 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.1,3성급,69636,New Chitose Airport,49.4 km,58 mins
JR 타워 호텔 닛코 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.8,4성급,205229,New Chitose Airport,54.8 km,56 mins
삿포로 그랜드 호텔,2023-09-03,2023-09-04,삿포로,호텔,8.3,4성급,76429,New Chitose Airport,49.0 km,56 mins
로이톤 삿포로 호텔,2023-09-03,2023-09-04,삿포로,호텔,8.0,4성급,98109,New Chitose Airport,49.8 km,57 mins
호텔 포르자 삿포르 스테이션,2023-09-03,2023-09-04,삿포로,호텔,9.3,3성급,64610,New Chitose Airport,48.9 km,56 mins
베스트 웨스턴 삿포로 오도리-코엔,2023-09-03,2023-09-04,삿포로,호텔,8.5,3성급,77585,New Chitose Airport,48.8 km,54 mins
도큐 스테이 삿포로 오도리,2023-09-03,2023-09-04,삿포로,호텔,8.9,3성급,88846,New Chitose Airport,49.6 km,58 mins
호텔 마이스테이스 삿포로 스테이션,2023-09-03,2023-09-04,삿포로,호텔,8.1,3성급,73668,New Chitose Airport,54.8 km,55 mins
네스트 호텔 삿포로 에키마에,2023-09-03,2023-09-04,삿포로,호텔,7.0,3성급,83399,New Chitose Airport,48.8 km,54 mins
미쓰이 가든 호텔 삿포로 웨스트,2023-09-03,2023-09-04,삿포로,호텔,8.8,3성급,126785,New Chitose Airport,55.3 km,57 mins
란도르 레지덴셜 호텔 삿포로 스위트,2023-09-03,2023-09-04,삿포로,호텔,8.5,3성급,114365,New Chitose Airport,48.9 km,56 mins
JR 이스트 호텔 멧츠 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.9,3성급,103942,New Chitose Airport,48.9 km,56 mins
호텔 몬토레 에델호프 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.2,4성급,108722,New Chitose Airport,48.8 km,54 mins
프리미어 호텔 나카지마 파크 삿포로,2023-09-03,2023-09-04,삿포로,호텔,8.2,4성급,78496,New Chitose Airport,49.5 km,59 mins
